Cluster,Gene_name
Cluster012,SH3KBP1
Cluster012,TSEN54
Cluster012,PYHIN1
Cluster012,LPIN1
Cluster012,CD247
Cluster012,C6orf190
Cluster012,IL2RB
Cluster012,CD2
Cluster012,SH2D1A
Cluster012,PLEKHF1
Cluster012,CD96
Cluster012,CD3G
Cluster012,ZAP70
Cluster012,SBK1
Cluster012,PRKCQ
Cluster012,PYHIN1
Cluster012,SKAP1
Cluster012,IL32
Cluster012,RUNX3
Cluster012,CD7
Cluster012,
Cluster012,KLRB1
Cluster012,CD3D
Cluster012,CD3D
Cluster012,SKAP1
Cluster012,UBASH3A
Cluster012,IL32
Cluster012,DYRK2
Cluster012,CD247
Cluster012,PYHIN1
Cluster012,CD96
Cluster013,AKIRIN1
Cluster013,CRLF3
Cluster013,DYRK1A
Cluster013,AKIRIN1
Cluster013,MAT2B
Cluster013,SNAP23
Cluster013,PPM1A
Cluster013,LOC644063
Cluster013,SON
Cluster013,FCGR2A
Cluster013,HNRPK
Cluster013,LOC653994
Cluster013,HERC3
Cluster013,SSFA2
Cluster013,GIT2
Cluster013,ARID4B
Cluster013,THAP1
Cluster013,JAK1
Cluster013,
Cluster013,SFRS2IP
Cluster013,GTF2IP1
Cluster013,EIF4G2
Cluster013,GIT2
Cluster013,OGT
Cluster013,G3BP2
Cluster013,PPM1A
Cluster013,LOC401805
Cluster013,LOC441711
Cluster013,NR2C2
Cluster014,KLRG1
Cluster014,SAMD3
Cluster014,PPP2R2B
Cluster014,GNLY
Cluster014,GZMK
Cluster014,GZMH
Cluster014,PRF1
Cluster014,EOMES
Cluster014,FGFBP2
Cluster014,CD8A
Cluster014,GZMA
Cluster014,TGFBR3
Cluster014,NCALD
Cluster014,GNLY
Cluster014,PTPN4
Cluster014,CLIC3
Cluster014,KLRD1
Cluster014,KLRD1
Cluster014,S1PR5
Cluster014,GZMB
Cluster014,GNLY
Cluster014,SAMD3
Cluster014,MATK
Cluster014,SYTL2
Cluster014,NCALD
Cluster014,GPR56
Cluster014,CD8A
Cluster014,GPR56
Cluster015,LOC642788
Cluster015,LOC730953
Cluster015,LOC646434
Cluster015,LOC728417
Cluster015,LOC641710
Cluster015,LOC441124
Cluster015,LOC641693
Cluster015,LOC642267
Cluster015,LOC643313
Cluster015,LOC642816
Cluster015,LOC642780
Cluster015,LOC728417
Cluster015,LOC642334
Cluster015,LOC100132287
Cluster015,LOC729010
Cluster015,LOC100134822
Cluster015,LOC100134703
Cluster015,LOC100132119
Cluster015,LOC100129904
Cluster015,LOC100129343
Cluster015,LOC731275
Cluster015,LOC730234
Cluster016,LOC642113
Cluster016,LOC652694
Cluster016,ITM2C
Cluster016,LOC647450
Cluster016,SEC11C
Cluster016,LOC652493
Cluster016,TNFRSF13B
Cluster016,COBLL1
Cluster016,TNFRSF17
Cluster016,TXNDC5
Cluster016,TXNDC5
Cluster016,LOC649923
Cluster016,GLDC
Cluster016,POU2AF1
Cluster016,IGJ
Cluster016,MGC29506
Cluster016,CD38
Cluster016,ABCB9
Cluster016,ABCB9
Cluster016,ITM2C
Cluster016,IGLL1
Cluster016,TXNDC5
Cluster016,LOC647506
Cluster017,PRTN3
Cluster017,SLC2A5
Cluster017,DEFA1B
Cluster017,CTSG
Cluster017,LOC653600
Cluster017,MS4A3
Cluster017,ABCA13
Cluster017,MPO
Cluster017,ELANE
Cluster017,MYB
Cluster017,CEACAM6
Cluster017,DEFA1B
Cluster017,AZU1
Cluster017,MS4A3
Cluster017,DEFA4
Cluster017,CFC1B
Cluster017,CEACAM8
Cluster017,DEFA1B
Cluster017,RNASE3
Cluster017,DEFA3
Cluster017,DEFA1
Cluster017,LOC284648
Cluster018,CCNDBP1
Cluster018,LOC647349
Cluster018,LYPLA1
Cluster018,YWHAZ
Cluster018,ARF4
